|||Columns|
Rows||||
|||Measurement level|
|||House Sale Statistics In District|
Adana(Ceyhan)|2016|01-January|102.0|
||02-February|143.0|
||03-March|164.0|
||04-April|144.0|
||05-May|145.0|
||06-June|170.0|
||07-July|119.0|
Adana(Çukurova)|2016|01-January|521.0|
||02-February|678.0|
||03-March|826.0|
||04-April|636.0|
||05-May|649.0|
||06-June|637.0|
||07-July|528.0|
Adana(Seyhan)|2016|01-January|547.0|
||02-February|716.0|
||03-March|1115.0|
||04-April|814.0|
||05-May|756.0|
||06-June|798.0|
||07-July|513.0|
Adana(Yüreğir)|2016|01-January|75.0|
||02-February|131.0|
||03-March|203.0|
||04-April|144.0|
||05-May|181.0|
||06-June|144.0|
||07-July|97.0|
Adıyaman(Merkez)|2016|01-January|234.0|
||02-February|245.0|
||03-March|313.0|
||04-April|352.0|
||05-May|306.0|
||06-June|314.0|
||07-July|209.0|
Afyonkarahisar(Merkez)|2016|01-January|272.0|
||02-February|331.0|
||03-March|404.0|
||04-April|358.0|
||05-May|390.0|
||06-June|352.0|
||07-July|287.0|
Aksaray(Merkez)|2016|01-January|254.0|
||02-February|358.0|
||03-March|419.0|
||04-April|324.0|
||05-May|387.0|
||06-June|340.0|
||07-July|371.0|
Ankara(Altındağ)|2016|01-January|683.0|
||02-February|880.0|
||03-March|928.0|
||04-April|878.0|
||05-May|843.0|
||06-June|953.0|
||07-July|606.0|
Ankara(Çankaya)|2016|01-January|1208.0|
||02-February|1532.0|
||03-March|1776.0|
||04-April|1716.0|
||05-May|1660.0|
||06-June|2002.0|
||07-July|1043.0|
Ankara(Etimesgut)|2016|01-January|1046.0|
||02-February|1183.0|
||03-March|1552.0|
||04-April|1577.0|
||05-May|1337.0|
||06-June|1264.0|
||07-July|894.0|
Ankara(Keçiören)|2016|01-January|1650.0|
||02-February|2122.0|
||03-March|2390.0|
||04-April|2027.0|
||05-May|2135.0|
||06-June|2061.0|
||07-July|1417.0|
Ankara(Mamak)|2016|01-January|1227.0|
||02-February|1491.0|
||03-March|1745.0|
||04-April|1642.0|
||05-May|1600.0|
||06-June|1560.0|
||07-July|1100.0|
Ankara(Sincan)|2016|01-January|768.0|
||02-February|896.0|
||03-March|1080.0|
||04-April|968.0|
||05-May|967.0|
||06-June|914.0|
||07-July|679.0|
Ankara(Yenimahalle)|2016|01-January|1019.0|
||02-February|1149.0|
||03-March|1341.0|
||04-April|1218.0|
||05-May|1255.0|
||06-June|1307.0|
||07-July|979.0|
Antalya(Alanya)|2016|01-January|1089.0|
||02-February|880.0|
||03-March|988.0|
||04-April|1015.0|
||05-May|1059.0|
||06-June|997.0|
||07-July|681.0|
Antalya(Kepez)|2016|01-January|1166.0|
||02-February|1264.0|
||03-March|1496.0|
||04-April|2495.0|
||05-May|1353.0|
||06-June|1375.0|
||07-July|820.0|
Antalya(Konyaaltı)|2016|01-January|457.0|
||02-February|542.0|
||03-March|653.0|
||04-April|600.0|
||05-May|630.0|
||06-June|502.0|
||07-July|370.0|
Antalya(Manavgat)|2016|01-January|249.0|
||02-February|241.0|
||03-March|328.0|
||04-April|247.0|
||05-May|261.0|
||06-June|220.0|
||07-July|240.0|
Antalya(Muratpaşa)|2016|01-January|878.0|
||02-February|1071.0|
||03-March|1141.0|
||04-April|989.0|
||05-May|984.0|
||06-June|968.0|
||07-July|657.0|
Aydın(Didim)|2016|01-January|443.0|
||02-February|591.0|
||03-March|580.0|
||04-April|616.0|
||05-May|630.0|
||06-June|607.0|
||07-July|586.0|
Aydın(Efeler)|2016|01-January|456.0|
||02-February|550.0|
||03-March|627.0|
||04-April|557.0|
||05-May|567.0|
||06-June|681.0|
||07-July|427.0|
Aydın(Kuşadası)|2016|01-January|412.0|
||02-February|732.0|
||03-March|811.0|
||04-April|619.0|
||05-May|740.0|
||06-June|737.0|
||07-July|603.0|
Balıkesir(Altıeylül)|2016|01-January|149.0|
||02-February|195.0|
||03-March|210.0|
||04-April|238.0|
||05-May|248.0|
||06-June|215.0|
||07-July|152.0|
Balıkesir(Edremit)|2016|01-January|392.0|
||02-February|570.0|
||03-March|813.0|
||04-April|761.0|
||05-May|688.0|
||06-June|674.0|
||07-July|549.0|
Balıkesir(Karesi)|2016|01-January|169.0|
||02-February|190.0|
||03-March|232.0|
||04-April|235.0|
||05-May|213.0|
||06-June|202.0|
||07-July|152.0|
Batman(Merkez)|2016|01-January|197.0|
||02-February|176.0|
||03-March|253.0|
||04-April|318.0|
||05-May|344.0|
||06-June|269.0|
||07-July|331.0|
Bolu(Merkez)|2016|01-January|273.0|
||02-February|644.0|
||03-March|374.0|
||04-April|381.0|
||05-May|285.0|
||06-June|442.0|
||07-July|307.0|
Bursa(İnegöl)|2016|01-January|274.0|
||02-February|294.0|
||03-March|376.0|
||04-April|326.0|
||05-May|353.0|
||06-June|345.0|
||07-July|346.0|
Bursa(Nilüfer)|2016|01-January|986.0|
||02-February|1324.0|
||03-March|1389.0|
||04-April|1165.0|
||05-May|1136.0|
||06-June|1245.0|
||07-July|761.0|
Bursa(Osmangazi)|2016|01-January|719.0|
||02-February|833.0|
||03-March|1056.0|
||04-April|905.0|
||05-May|901.0|
||06-June|904.0|
||07-July|675.0|
Bursa(Yıldırım)|2016|01-January|373.0|
||02-February|473.0|
||03-March|536.0|
||04-April|418.0|
||05-May|472.0|
||06-June|401.0|
||07-July|294.0|
Çanakkale(Merkez)|2016|01-January|366.0|
||02-February|452.0|
||03-March|449.0|
||04-April|480.0|
||05-May|482.0|
||06-June|472.0|
||07-July|458.0|
Çorum(Merkez)|2016|01-January|481.0|
||02-February|451.0|
||03-March|573.0|
||04-April|524.0|
||05-May|538.0|
||06-June|537.0|
||07-July|454.0|
Denizli(Merkezefendi)|2016|01-January|379.0|
||02-February|469.0|
||03-March|532.0|
||04-April|465.0|
||05-May|530.0|
||06-June|532.0|
||07-July|312.0|
