||||Columns|
Rows|||||
||||House Sale Statistics|
Adana|1. (First Sales)|2016|01-January|616.0|
|||02-February|877.0|
|||03-March|1422.0|
|||04-April|1109.0|
|||05-May|940.0|
|||06-June|1004.0|
|||07-July|763.0|
|2. (Second Hand Sales)|2016|01-January|818.0|
|||02-February|1061.0|
|||03-March|1309.0|
|||04-April|1108.0|
|||05-May|1195.0|
|||06-June|1182.0|
|||07-July|811.0|
Adıyaman|1. (First Sales)|2016|01-January|195.0|
|||02-February|184.0|
|||03-March|196.0|
|||04-April|269.0|
|||05-May|239.0|
|||06-June|240.0|
|||07-July|168.0|
|2. (Second Hand Sales)|2016|01-January|126.0|
|||02-February|150.0|
|||03-March|220.0|
|||04-April|225.0|
|||05-May|178.0|
|||06-June|196.0|
|||07-July|182.0|
Afyonkarahisar|1. (First Sales)|2016|01-January|184.0|
|||02-February|253.0|
|||03-March|315.0|
|||04-April|258.0|
|||05-May|311.0|
|||06-June|364.0|
|||07-July|242.0|
|2. (Second Hand Sales)|2016|01-January|241.0|
|||02-February|263.0|
|||03-March|334.0|
|||04-April|300.0|
|||05-May|345.0|
|||06-June|333.0|
|||07-July|265.0|
Ağrı|1. (First Sales)|2016|01-January|69.0|
|||02-February|74.0|
|||03-March|91.0|
|||04-April|87.0|
|||05-May|90.0|
|||06-June|142.0|
|||07-July|68.0|
|2. (Second Hand Sales)|2016|01-January|61.0|
|||02-February|42.0|
|||03-March|64.0|
|||04-April|80.0|
|||05-May|72.0|
|||06-June|64.0|
|||07-July|58.0|
Aksaray|1. (First Sales)|2016|01-January|156.0|
|||02-February|183.0|
|||03-March|248.0|
|||04-April|190.0|
|||05-May|232.0|
|||06-June|215.0|
|||07-July|241.0|
|2. (Second Hand Sales)|2016|01-January|118.0|
|||02-February|201.0|
|||03-March|217.0|
|||04-April|150.0|
|||05-May|170.0|
|||06-June|150.0|
|||07-July|172.0|
Amasya|1. (First Sales)|2016|01-January|151.0|
|||02-February|204.0|
|||03-March|188.0|
|||04-April|282.0|
|||05-May|181.0|
|||06-June|192.0|
|||07-July|175.0|
|2. (Second Hand Sales)|2016|01-January|118.0|
|||02-February|161.0|
|||03-March|171.0|
|||04-April|212.0|
|||05-May|181.0|
|||06-June|148.0|
|||07-July|152.0|
Ankara|1. (First Sales)|2016|01-January|3642.0|
|||02-February|4150.0|
|||03-March|4838.0|
|||04-April|4625.0|
|||05-May|4343.0|
|||06-June|4738.0|
|||07-July|3072.0|
|2. (Second Hand Sales)|2016|01-January|5370.0|
|||02-February|6544.0|
|||03-March|7892.0|
|||04-April|7218.0|
|||05-May|7065.0|
|||06-June|6957.0|
|||07-July|4883.0|
Antalya|1. (First Sales)|2016|01-January|1881.0|
|||02-February|1816.0|
|||03-March|2223.0|
|||04-April|2054.0|
|||05-May|1958.0|
|||06-June|1915.0|
|||07-July|1449.0|
|2. (Second Hand Sales)|2016|01-January|2569.0|
|||02-February|2834.0|
|||03-March|3229.0|
|||04-April|4098.0|
|||05-May|3035.0|
|||06-June|2876.0|
|||07-July|1941.0|
Ardahan|1. (First Sales)|2016|01-January|4.0|
|||02-February|0.0|
|||03-March|3.0|
|||04-April|4.0|
|||05-May|0.0|
|||06-June|8.0|
|||07-July|0.0|
|2. (Second Hand Sales)|2016|01-January|3.0|
|||02-February|3.0|
|||03-March|7.0|
|||04-April|3.0|
|||05-May|13.0|
|||06-June|11.0|
|||07-July|3.0|
Artvin|1. (First Sales)|2016|01-January|57.0|
|||02-February|45.0|
|||03-March|63.0|
|||04-April|47.0|
|||05-May|52.0|
|||06-June|37.0|
|||07-July|66.0|
|2. (Second Hand Sales)|2016|01-January|58.0|
|||02-February|58.0|
|||03-March|84.0|
|||04-April|76.0|
|||05-May|83.0|
|||06-June|73.0|
|||07-July|50.0|
Aydın|1. (First Sales)|2016|01-January|1004.0|
|||02-February|1013.0|
|||03-March|1105.0|
|||04-April|1000.0|
|||05-May|1030.0|
|||06-June|1217.0|
|||07-July|904.0|
|2. (Second Hand Sales)|2016|01-January|1086.0|
|||02-February|1451.0|
|||03-March|1600.0|
|||04-April|1392.0|
|||05-May|1511.0|
|||06-June|1453.0|
|||07-July|1209.0|
Balıkesir|1. (First Sales)|2016|01-January|558.0|
|||02-February|710.0|
|||03-March|736.0|
|||04-April|726.0|
|||05-May|739.0|
|||06-June|706.0|
|||07-July|587.0|
|2. (Second Hand Sales)|2016|01-January|883.0|
|||02-February|1309.0|
|||03-March|1773.0|
|||04-April|1718.0|
|||05-May|1654.0|
|||06-June|1492.0|
|||07-July|1217.0|
Bartın|1. (First Sales)|2016|01-January|79.0|
|||02-February|131.0|
|||03-March|162.0|
|||04-April|124.0|
|||05-May|165.0|
|||06-June|160.0|
|||07-July|150.0|
|2. (Second Hand Sales)|2016|01-January|56.0|
|||02-February|73.0|
|||03-March|105.0|
|||04-April|64.0|
|||05-May|111.0|
|||06-June|100.0|
|||07-July|114.0|
Batman|1. (First Sales)|2016|01-January|133.0|
|||02-February|540.0|
|||03-March|158.0|
|||04-April|212.0|
|||05-May|221.0|
|||06-June|179.0|
|||07-July|245.0|
|2. (Second Hand Sales)|2016|01-January|74.0|
|||02-February|113.0|
|||03-March|103.0|
|||04-April|109.0|
|||05-May|138.0|
|||06-June|99.0|
|||07-July|99.0|
Bayburt|1. (First Sales)|2016|01-January|18.0|
|||02-February|12.0|
|||03-March|10.0|
|||04-April|15.0|
|||05-May|13.0|
|||06-June|21.0|
|||07-July|25.0|
|2. (Second Hand Sales)|2016|01-January|6.0|
|||02-February|5.0|
|||03-March|10.0|
|||04-April|5.0|
|||05-May|25.0|
|||06-June|13.0|
|||07-July|13.0|
Bilecik|1. (First Sales)|2016|01-January|190.0|
|||02-February|152.0|
|||03-March|173.0|
|||04-April|168.0|
|||05-May|188.0|
|||06-June|159.0|
|||07-July|137.0|
|2. (Second Hand Sales)|2016|01-January|120.0|
